By 11.25 a.m. ( 0025 GMT ) , Niugini Mining shares were at A$ 3.65 , up 28 cents on turnover of 108,288 shares .	GMT ! mix ; Niugini Mining ! org ; A$ ! mix ;
SOCCER - DUTCH FIRST DIVISION RESULTS / STANDINGS .	DUTCH ! mix ;
SWP said it may develop pork production systems that provide farmers with large integrated units , and it may consider contracting programs between producers and packers which would operate within the existing hog market framework .	SWP ! org ;
In Jakarta , Tsang will meet President Suharto , Minister of Finance Mar'ie Muhammad , Minister of Foreign Affairs Ali Alatas and Minister of Trade and Industry Tungky Ariwibowo .	Jakarta ! location ; Tsang ! person ; Suharto ! person ; Finance Mar'ie Muhammad ! org ; Foreign Affairs Ali Alatas ! person ; Trade and Industry Tungky Ariwibowo ! org ;
Luton 3 0 0 3 3 10 0	Luton ! org ;
By 3 a.m. ( 0100 GMT ) more than 2,000 lorries had been stopped and searched .	GMT ! mix ;
U.S. Open tennis championships beginning Monday at the U.S .	U.S. Open ! mix ; U.S ! location ;
" Egypt will contact the British government to find out the truth of the matter and to discuss the possible consequences of such an unfortunate step , " he added .	Egypt ! location ; British ! mix ;
Graafschap Doetinchem 3 1 1 1 5 5 4	Graafschap Doetinchem ! org ;
Thompson has denied the charges .	Thompson ! person ;
Andreas Andersson ( 87th )	Andreas Andersson ! person ;
Tapie , the target of a blizzard of legal actions over his now-destroyed business empire and the Marseille soccer team he once ran , has a starring role in Lelouche 's " Homme , femmes : mode d'emploi " ( Men , women : instructions for use ) .	Tapie ! person ; Marseille ! org ; Lelouche ! person ;
RUGBY LEAGUE - Australian rugby league standings .	RUGBY LEAGUE ! mix ; Australian ! mix ;
Weinstein was found dead last weekend alongside the bodies of eight-year-olds Julie Lejeune and Melissa Russo in a house belonging to Detroux , who said they starved to death earlier this year , nine months after being abducted in June 1995 .	Weinstein ! person ; Julie Lejeune ! person ; Melissa Russo ! person ; Detroux ! person ;
About 1,000 people have been killed in Egypt since Islamic militants took up arms in 1992 in an attempt to overthrow the government and set up a strict Islamic state .	Egypt ! location ; Islamic ! mix ; Islamic ! mix ;
Did not bat : Mohammad Akam	Mohammad Akam ! person ;
Brian McRae singled in Tyler Houston in the top of the ninth inning to snap a tie as the Chicago Cubs avoided a three-game sweep with 3-2 victory over the Atlanta Braves on Sunday .	Brian McRae ! person ; Tyler Houston ! person ; Chicago Cubs ! org ; Atlanta Braves ! org ;
Pembroke Pines police said five people were arrested as a result of the 90-minute stakeout , including the four robbers and a restaurant employee who was allegedly prepared to let them in a back door .	Pembroke Pines ! location ;
