PlayStation 2 in the first 60 days will generate $ 1 billion in retail .	PlayStation 2 ! product ; the first 60 days ! date ; $ 1 billion ! money ;
Well , how exactly did the four northern islands issue originate ?	four ! num ;
The Dow has slipped 116 points .	116 points ! measure ;
In so doing , he has done much to make up for 40 years of neglect .	40 years ! date ;
But there 's a second point here /.	second ! order ;
This is the greatest democracy we 're talking about , and the system is undemocratic , and the turnout as well I felt 's over 90 % here usually , and it 's hard for Israeli citizens to grasp 50 % .	over 90 % ! per ; Israeli ! national ; 50 % ! per ;
They are , according to sources , looking for the body parts of those who pilotted a small boat into the port side of the `` Cole '' nearly sinking it .	Cole ! product ;
I lived in a series of run down motels with like you know people from the Jerry Springer Show /.	the Jerry Springer Show ! art ;
Relying on the 300,000 ton Maoming ethylene project , the Shuidong Development Zone continuously strengthens its attraction for overseas investment and is becoming the new investment hotspot of southern China .	300,000 ton Maoming ! measure ; the Shuidong Development Zone ! country ; China ! country ;
Less than half an hour after leaving the train station we get off the county highway and onto narrow Tungshih East Road .	Less than half an hour ! time ; Tungshih East Road ! fact ;
During their stay in Taiwan , they are not only introduced to media elites in Taiwan and to the local media environment and facilities , but can also gain a greater knowledge of the land and people of the Republic of China .	Taiwan ! country ; Taiwan ! country ; the Republic of China ! country ;
and we had to walk like probably like five kilometers like to the place where we were sleeping	like five kilometers ! measure ;
The suit sets the firms ' liability at more than $ 185 million .	more than $ 185 million ! money ;
This last creates a real problem and hardship because existing residents have no way to capitalize on their fortune unless they move .	last ! order ;
And our continuing series Manhunt Sex Offenders on the Loose our effort to help find missing sex offenders before they strike again /.	Manhunt Sex Offenders on the Loose ! art ;
Largely to meet tougher new capital requirements , thrifts reduced their assets $ 13.4 billion in August , by selling such assets as mortgage - backed securities and loans .	$ 13.4 billion ! money ; August ! date ;
The cost of the war the budget director of the White House said it 'd be fifty billion dollars /.	the White House ! org ; fifty billion dollars ! money ;
The stars over the Sahara are enormous .	Sahara ! location ;
Nevertheless many people have reservations about the pronunciation of the English teachers in our primary schools .	English ! language ;
You come outside the airplane itself and you have technology , 100 % inspection of baggage .	100 % ! per ;
During the eight consecutive days , the college students altogether cleared away a 660,000 square meter layer of ice .	the eight consecutive days ! date ; 660,000 square meter ! measure ;
He was also convicted of failing to properly remove asbestos from the building , a violation of the Clean Air Act .	the Clean Air Act ! law ;
Taiwanese was no longer taboo , and indeed identification with " Taiwanese-ness " came to be highly admired .	Taiwanese ! language ;
We did massive voter registration , then Get Out the Vote efforts .	Get Out the Vote ! thing ;
On December thirteenth he 's scheduled to die /.	December thirteenth ! date ;
The communications conditions once you 're on Mars , just to talk to people on earth , there 's a 20 minute delay in the conversation .	Mars ! location ; 20 minute ! time ;
You 're looking at Mars .	Mars ! location ;
For an executive summary , I 've never used Excel , and I 've never talked about models for the financial structure .	Excel ! product ;
and then I 'll let my arm hanging down	and ! language ;
It all started around 11:30 Saturday night , when Williams got into a fight with the baby 's mother , Jasmine .	around 11:30 Saturday night ! time ; Williams ! person ; Jasmine ! person ;
Wu Se-hwa points to Intel as a prime example of how knowledge can " convert silicon to gold . "	Wu Se-hwa ! person ; Intel ! org ;
He is now changing the place he sleeps every night , sometimes more than once a night .	every night ! time ;
To push through a sales tax increase , however , the state will have to suspend the Gann limit , citing an emergency .	Gann ! law ;
Fujian Province , located in southeast China 's coastal area , has tasted the benefits in recent years of the vigorous development of new high level technology industry .	Fujian Province ! country ; China ! country ; recent years ! date ;
He describes a reporter as `` Miss First Amendment . ''	First Amendment ! law ;
The Soviets cut a deal with Iran : a future Iranian role in Afghanistan in exchange for Iranian support of Soviet policy .	Soviets ! national ; Iran ! country ; Iranian ! national ; Afghanistan ! country ; Iranian ! national ; Soviet ! national ;
MERRILL LYNCH READY ASSETS TRUST : 8.56 % .	8.56 % ! per ;
At $ 141 million , mostly private donations , the monument will feature pillars that form an open circle .	$ 141 million ! money ;
They are officially considered `` strategic , '' and their privatization is prohibited by the Mexican Constitution .	the Mexican Constitution ! law ;
Second , Chien - chien understood no French , so we were concerned that she might be mistreated .	Second ! order ; Chien - chien ! person ; French ! language ;
Maybe he used to pray a lot against them , and God accepted his prayers and inspired them to conspire in his execution on the Muslims ' big feast so Eid Al Adha would remain connected to his name for decades and decades .	Muslims ! national ; Eid Al Adha ! thing ; decades and decades ! date ;
The fund 's strategy is to sell when a stock appreciates 30 % over its cost .	30 % ! per ;
James was not shooting and he was not with somebody shooting .	James ! person ;
100 people , most of them Palestinians and Israeli Arabs , have died in violent clashes that began September when Israeli Likud Party leader Ariel Sharon visited the area , which is sacred to both Muslims and Jews .	100 ! num ; Palestinians ! national ; Israeli Arabs ! national ; September ! date ; Israeli Likud Party ! national ; Ariel Sharon ! org ; Muslims ! person ; Jews ! national ;
well , they 're like Wheel Of Fortune and like	Wheel Of Fortune ! product ;
" The World Trade Organization and China Service Trade Seminar " will be held in Shanghai on April 19th .	" The World Trade Organization and China Service Trade Seminar " ! thing ; Shanghai ! country ; April 19th ! date ;
That means that they will need to set priorities as to what land is most worth saving and give up on the idea of saving 95 % of it , for free .	95 % ! per ;
so he 's coming here over Labor Day weekend --	Labor Day ! thing ;
If you are a retailer , 50 % , and a farmer , 30 % .	50 % ! per ; 30 % ! per ;
Last year was an important milestone in the globalization process .	Last year ! date ;
Playboy ?	Playboy ! art ;
She prefers ` Elizabeth . ' ''	Elizabeth ! person ;
then they put him on the floor in the back of the bmw and sped off .	bmw ! product ;
And in 2006 , the " final " total " cost " of this acquisition , according to a report in the magazine Caijing , was 3.73 billion yuan .	2006 ! date ; Caijing ! org ; 3.73 billion yuan ! money ;
It has become popular in recent years to send children to academic camps overseas to learn English while getting a look at the big , wide world .	English ! language ;
In the evening when washing his feet at home , Mom said : " Let 's sell our house , buy a house next to Grandma 's , and give Dad the remaining money to start a business with , is that okay ? "	the evening ! time ;
Abrams report at msnbc dot com /.	Abrams report ! art ;
If you 've got any information on his whereabouts please contact the New Mexico Department of Public Safety five oh five eight two seven nine two nine seven /.	the New Mexico Department of Public Safety ! org ;
anyway so what about Washingtonian	Washingtonian ! art ;
The " Shenye Holding Company " and " Shenzhen Expressway " both being approved in the Hong Kong Stock Exchange turns a new page in the cooperation between the two stock markets of Shenzhen and Hong Kong .	The " Shenye Holding Company " ! org ; " Shenzhen Expressway " ! org ; the Hong Kong Stock Exchange ! org ; two ! num ; Shenzhen ! country ; Hong Kong ! country ;
Stroking the silver - gray ringlets which are twice as fine as human hair , Chang says that these soft , flexible fibers of high - grade steel can not only make fashion fabrics glisten with a mysterious modern sheen suitable for a millennium party , but - thanks to metals ' outstanding capacity to shield and conduct electromagnetic waves , and their ability to withstand high temperatures and acid or caustic environments - they also have a wide range of applications in many industries .	twice ! order ; Chang ! person ;
and now we bring you a tale of two families /.	two ! num ;
BTW 13 % more new home sales last year , in spite of higher rates ,	13 % ! per ;
The only choice was the Antung Street Studio , where the monthly fee was just 20 yuan .	the Antung Street Studio ! fact ; 20 yuan ! money ;
They 're not exactly Bush uh uh camp followers /.	Bush ! person ;
Alcohol and substance abuse as a result of stress - related problems was cited by 30 % of those polled .	30 % ! per ;
Kajima advanced 40 to 2,120 and Ohbayashi added 50 to 1,730 .	Kajima ! org ; 40 ! num ; 2,120 ! num ; Ohbayashi ! org ; 50 ! num ; 1,730 ! num ;
Here , you know , it 's like it 's American as well as Indian taste .	American ! national ; Indian ! national ;
The specifications go from 35 cm straight up to 84 cm .	35 cm ! measure ; 84 cm ! measure ;
She is first among equals , America 's first First Lady politician .	first ! order ; America ! country ; first ! order ;
Overnight , thousands of workers abandoned their jobs at two important coal mines and an oil refinery , and that could lead to power and fuel shortages .	Overnight ! time ; thousands ! num ; two ! num ;
Together , they control nearly 40 % of Turner Broadcasting Systems Inc. ; Tele - Communications has a 21.8 % stake , while Time Warner has a 17.8 % stake .	nearly 40 % ! per ; Turner Broadcasting Systems Inc. ! org ; Tele - Communications ! org ; 21.8 % ! per ; Time Warner ! org ; 17.8 % ! per ;
Those are the headlines making news this hour .	this hour ! time ;
They worked out a cement filling mining method , so that the average quantity mined per person per shift is 17.6 tons , reaching an internationally advanced level .	17.6 tons ! measure ;
That 's the very latest news from Wall Street .	Wall Street ! fact ;
I 'm here in Chicago /.	Chicago ! location ;
The National Stadium Cycling Racing Championship Competition entered a second day today .	The National Stadium Cycling Racing Championship Competition ! thing ; second ! order ; today ! date ;
It was at least still more than 1,000 meters in height and the precipitous slope was n't under 60 plus degrees .	more than 1,000 meters ! measure ; 60 plus degrees ! measure ;
Obviously , the director drew much of Un Chien Andalou from his Spanish heritage -- the religious and social implications , the themes of emotionalism and death , even the donkey carcasses .	Un Chien Andalou ! art ; Spanish ! national ;
When the meat arrives she chops it into one - catty strips , then steeps these in a marinade of dry - fried star anise and other spices , mixed with rock sugar , salt and Gaoliang liquor .	one - catty ! measure ; Gaoliang ! country ;
Because there 's only two options here as you point out /.	two ! num ;
But it said extraordinary expenditures for its radio station and restoration of buildings increased the deficit to $ 57.2 million .	$ 57.2 million ! money ;
Investors on Wall Street are waiting for the word from Federal Reserve Chairman Alan Greenspan on interest rates .	Wall Street ! fact ; Federal Reserve ! org ; Alan Greenspan ! person ;
At an inconclusive Geneva meeting late last month , OPEC 's oil ministers halfheartedly approved another increase of one million barrels a day in their production ceiling .	Geneva ! country ; late last month ! date ; OPEC ! org ; one million barrels ! measure ;
for big science has found burials surrounded by literally pounds of pollen .	pounds ! measure ;
The daughter - in - law series was a collection of all - Taiwanese - language stories broadcast by CTS , describing the relationship between daughters - in - law and mothers - in - law in Taiwan 's traditional rural society .	Taiwanese ! language ; CTS ! org ; Taiwan ! country ;
Although the recent fires have been put out fairly quickly , a blaze on Snow Mountain caused alarm when it burned near a stand of rare Chinese hemlock as well as streams that are home to the Formosan landlocked salmon , which is regarded as a national treasure .	Snow Mountain ! location ; Chinese ! national ; Formosan ! national ;
During World War II , her uncomplicated view of life led her to the conclusion that the Nazis were evil and must be resisted , a decision made by only about 2 % of French citizens .	World War II ! thing ; Nazis ! national ; only about 2 % ! per ; French ! national ;
This will indeed lead to the great disappointment of neighboring countries in him , and furthermore to their caution about whether next , the prime minister , the defense minister , including , er , the foreign minister would all go pay their respects at Yasukuni Shrine .	Yasukuni Shrine ! art ;
U.S. officials keep finding cash hidden by Saddam 's regime .	U.S. ! country ; Saddam ! person ;
Scott Bob , VOA News , Cairo .	Scott Bob ! person ; VOA News ! org ; Cairo ! country ;
The dollar finished lower yesterday , after tracking another rollercoaster session on Wall Street .	yesterday ! date ;
Bus production also slipped , by 49 % from a year earlier to 2,936 units .	49 % ! per ; a year earlier ! date ; 2,936 ! num ;
This objective is stipulated in the outline of the foreign economic and trade development plan of the " ninth five - year plan " -LRB- 1996 - 2000 -RRB- formulated by Zhejiang province .	ninth five - year ! order ; 1996 - 2000 ! date ; Zhejiang province ! date ;
The Galileo spacecraft sped unerringly toward the planet Jupiter , while five astronauts aboard the space shuttle Atlantis measured the Earth 's ozone layer .	Galileo ! product ; Jupiter ! person ; five ! num ; Atlantis ! product ; Earth ! location ;
News reports about failing to vote in some elections and moving slowly to answer questions about his multi-million dollar CEO retirement package , reasons why some analysts consider him to be a flop .	multi-million dollar ! money ;
